* min_df= 1 , max_df= 0.2, alpha= 0.1, accuracy_train=0.9396631970889396, accuracy_val=0.8960791777693187 
* min_df= 1 , max_df= 0.2, alpha= 0.2, accuracy_train=0.926038757721926, accuracy_val=0.8892272554244385 
* min_df= 1 , max_df= 0.2, alpha= 0.30000000000000004, accuracy_train=0.9157992722349158, accuracy_val=0.8838979824895318 
* min_df= 1 , max_df= 0.2, alpha= 0.4, accuracy_train=0.9083100617754083, accuracy_val=0.8789493719071184 
* min_df= 1 , max_df= 0.2, alpha= 0.5, accuracy_train=0.9017094017094017, accuracy_val=0.876284735439665 
* min_df= 1 , max_df= 0.2, alpha= 0.6000000000000001, accuracy_train=0.8968012185833968, accuracy_val=0.8713361248572516 
* min_df= 1 , max_df= 0.2, alpha= 0.7000000000000001, accuracy_train=0.8926969620038927, accuracy_val=0.8690521507422916 
* min_df= 1 , max_df= 0.2, alpha= 0.8, accuracy_train=0.8896505035118897, accuracy_val=0.8671488389798249 
* min_df= 1 , max_df= 0.2, alpha= 0.9, accuracy_train=0.8867732927138867, accuracy_val=0.8671488389798249 
* min_df= 1 , max_df= 0.25, alpha= 0.1, accuracy_train=0.9394093255479394, accuracy_val=0.895317853064332 
* min_df= 1 , max_df= 0.25, alpha= 0.2, accuracy_train=0.9251925192519251, accuracy_val=0.8884659307194518 
* min_df= 1 , max_df= 0.25, alpha= 0.30000000000000004, accuracy_train=0.9146145383769146, accuracy_val=0.8835173201370384 
* min_df= 1 , max_df= 0.25, alpha= 0.4, accuracy_train=0.9071676398409072, accuracy_val=0.8778073848496384 
* min_df= 1 , max_df= 0.25, alpha= 0.5, accuracy_train=0.9007785393924008, accuracy_val=0.8755234107346783 
* min_df= 1 , max_df= 0.25, alpha= 0.6000000000000001, accuracy_train=0.8953203012608953, accuracy_val=0.8709554625047583 
* min_df= 1 , max_df= 0.25, alpha= 0.7000000000000001, accuracy_train=0.8911737327578911, accuracy_val=0.8694328130947849 
* min_df= 1 , max_df= 0.25, alpha= 0.8, accuracy_train=0.8884234577303884, accuracy_val=0.8690521507422916 
* min_df= 1 , max_df= 0.25, alpha= 0.9, accuracy_train=0.8846576965388847, accuracy_val=0.8679101636848116 
* min_df= 2 , max_df= 0.2, alpha= 0.1, accuracy_train=0.9336549039519336, accuracy_val=0.9002664636467453 
* min_df= 2 , max_df= 0.2, alpha= 0.2, accuracy_train=0.9255310146399255, accuracy_val=0.8972211648267986 
* min_df= 2 , max_df= 0.2, alpha= 0.30000000000000004, accuracy_train=0.9192688499619193, accuracy_val=0.8930338789493719 
* min_df= 2 , max_df= 0.2, alpha= 0.4, accuracy_train=0.9144452906829145, accuracy_val=0.8926532165968786 
* min_df= 2 , max_df= 0.2, alpha= 0.5, accuracy_train=0.9102140983329102, accuracy_val=0.8877046060144652 
* min_df= 2 , max_df= 0.2, alpha= 0.6000000000000001, accuracy_train=0.906025217906406, accuracy_val=0.8842786448420251 
* min_df= 2 , max_df= 0.2, alpha= 0.7000000000000001, accuracy_train=0.9027671997969028, accuracy_val=0.8827559954320517 
* min_df= 2 , max_df= 0.2, alpha= 0.8, accuracy_train=0.8996784293813996, accuracy_val=0.8797106966121051 
* min_df= 2 , max_df= 0.2, alpha= 0.9, accuracy_train=0.896970466277397, accuracy_val=0.8781880472021317 
* min_df= 2 , max_df= 0.25, alpha= 0.1, accuracy_train=0.9327240416349327, accuracy_val=0.9014084507042254 
* min_df= 2 , max_df= 0.25, alpha= 0.2, accuracy_train=0.9254040788694254, accuracy_val=0.8983631518842786 
* min_df= 2 , max_df= 0.25, alpha= 0.30000000000000004, accuracy_train=0.9188457307269189, accuracy_val=0.8930338789493719 
* min_df= 2 , max_df= 0.25, alpha= 0.4, accuracy_train=0.9138106118304138, accuracy_val=0.8907499048344119 
* min_df= 2 , max_df= 0.25, alpha= 0.5, accuracy_train=0.9094101717864094, accuracy_val=0.8873239436619719 
* min_df= 2 , max_df= 0.25, alpha= 0.6000000000000001, accuracy_train=0.9050520436659051, accuracy_val=0.8842786448420251 
* min_df= 2 , max_df= 0.25, alpha= 0.7000000000000001, accuracy_train=0.9014132182449014, accuracy_val=0.8812333460220784 
* min_df= 2 , max_df= 0.25, alpha= 0.8, accuracy_train=0.8984936955233985, accuracy_val=0.8793300342596118 
* min_df= 2 , max_df= 0.25, alpha= 0.9, accuracy_train=0.8957434204958957, accuracy_val=0.8770460601446517 
