* min_df= 1 , max_df= 0.1, alpha= 0.01, accuracy_train=0.9653888465769654, accuracy_val=0.8995051389417587 
* min_df= 1 , max_df= 0.1, alpha= 0.02, accuracy_train=0.9605229753744605, accuracy_val=0.8991244765892653 
* min_df= 1 , max_df= 0.1, alpha= 0.03, accuracy_train=0.956968773800457, accuracy_val=0.8991244765892653 
* min_df= 1 , max_df= 0.1, alpha= 0.04, accuracy_train=0.9536261318439536, accuracy_val=0.8972211648267986 
* min_df= 1 , max_df= 0.1, alpha= 0.05, accuracy_train=0.9515105356689515, accuracy_val=0.8972211648267986 
* min_df= 1 , max_df= 0.1, alpha= 0.06, accuracy_train=0.9495641871879495, accuracy_val=0.8956985154168253 
* min_df= 1 , max_df= 0.1, alpha= 0.07, accuracy_train=0.9477024625539477, accuracy_val=0.8945565283593453 
* min_df= 1 , max_df= 0.1, alpha= 0.08, accuracy_train=0.9462638571549462, accuracy_val=0.8934145413018653 
* min_df= 1 , max_df= 0.1, alpha= 0.09, accuracy_train=0.9449521875264449, accuracy_val=0.8926532165968786 
* min_df= 1 , max_df= 0.1, alpha= 0.1, accuracy_train=0.9435135821274435, accuracy_val=0.8922725542443852 
* min_df= 1 , max_df= 0.1, alpha= 0.11, accuracy_train=0.9423711601929424, accuracy_val=0.8915112295393985 
* min_df= 1 , max_df= 0.1, alpha= 0.12, accuracy_train=0.9403824997884404, accuracy_val=0.8915112295393985 
* min_df= 1 , max_df= 0.1, alpha= 0.13, accuracy_train=0.9386477109249386, accuracy_val=0.8907499048344119 
* min_df= 1 , max_df= 0.1, alpha= 0.14, accuracy_train=0.9375899128374376, accuracy_val=0.8903692424819185 
* min_df= 1 , max_df= 0.1, alpha= 0.15, accuracy_train=0.9362782432089363, accuracy_val=0.8907499048344119 
* min_df= 1 , max_df= 0.1, alpha= 0.16, accuracy_train=0.935093509350935, accuracy_val=0.8903692424819185 
* min_df= 1 , max_df= 0.1, alpha= 0.17, accuracy_train=0.9342049589574342, accuracy_val=0.8899885801294252 
* min_df= 1 , max_df= 0.1, alpha= 0.18, accuracy_train=0.9331048489464331, accuracy_val=0.8896079177769318 
* min_df= 1 , max_df= 0.1, alpha= 0.19, accuracy_train=0.932004738935432, accuracy_val=0.8884659307194518 
* min_df= 1 , max_df= 0.1, alpha= 0.2, accuracy_train=0.9308200050774308, accuracy_val=0.8877046060144652 
* min_df= 1 , max_df= 0.15000000000000002, alpha= 0.01, accuracy_train=0.963992553101464, accuracy_val=0.9002664636467453 
* min_df= 1 , max_df= 0.15000000000000002, alpha= 0.02, accuracy_train=0.9584496911229584, accuracy_val=0.8991244765892653 
* min_df= 1 , max_df= 0.15000000000000002, alpha= 0.03, accuracy_train=0.954980113395955, accuracy_val=0.8991244765892653 
* min_df= 1 , max_df= 0.15000000000000002, alpha= 0.04, accuracy_train=0.951975966827452, accuracy_val=0.8983631518842786 
* min_df= 1 , max_df= 0.15000000000000002, alpha= 0.05, accuracy_train=0.9494795633409495, accuracy_val=0.8964598401218119 
* min_df= 1 , max_df= 0.15000000000000002, alpha= 0.06, accuracy_train=0.9481255817889481, accuracy_val=0.895317853064332 
* min_df= 1 , max_df= 0.15000000000000002, alpha= 0.07, accuracy_train=0.946983159854447, accuracy_val=0.8949371907118386 
* min_df= 1 , max_df= 0.15000000000000002, alpha= 0.08, accuracy_train=0.9450791232969451, accuracy_val=0.894175866006852 
* min_df= 1 , max_df= 0.15000000000000002, alpha= 0.09, accuracy_train=0.9435982059744435, accuracy_val=0.8934145413018653 
* min_df= 1 , max_df= 0.15000000000000002, alpha= 0.1, accuracy_train=0.941990352881442, accuracy_val=0.8930338789493719 
* min_df= 1 , max_df= 0.15000000000000002, alpha= 0.11, accuracy_train=0.9409325547939409, accuracy_val=0.894175866006852 
* min_df= 1 , max_df= 0.15000000000000002, alpha= 0.12, accuracy_train=0.9390285182364391, accuracy_val=0.8934145413018653 
* min_df= 1 , max_df= 0.15000000000000002, alpha= 0.13, accuracy_train=0.9375476009139375, accuracy_val=0.8930338789493719 
* min_df= 1 , max_df= 0.15000000000000002, alpha= 0.14, accuracy_train=0.9362782432089363, accuracy_val=0.8922725542443852 
* min_df= 1 , max_df= 0.15000000000000002, alpha= 0.15, accuracy_train=0.934966573580435, accuracy_val=0.8915112295393985 
* min_df= 1 , max_df= 0.15000000000000002, alpha= 0.16, accuracy_train=0.9336972158754338, accuracy_val=0.8915112295393985 
