* min_df= 1 , max_df= 0.05, alpha= 0.01, accuracy_train=0.971989506642972, accuracy_val=0.8995051389417587 
* min_df= 1 , max_df= 0.05, alpha= 0.02, accuracy_train=0.9675890665989676, accuracy_val=0.9002664636467453 
* min_df= 1 , max_df= 0.05, alpha= 0.03, accuracy_train=0.9641618007954642, accuracy_val=0.9006471259992387 
* min_df= 1 , max_df= 0.05, alpha= 0.04, accuracy_train=0.960988406532961, accuracy_val=0.898743814236772 
* min_df= 1 , max_df= 0.05, alpha= 0.05, accuracy_train=0.9591689938224591, accuracy_val=0.8964598401218119 
* min_df= 1 , max_df= 0.05, alpha= 0.06, accuracy_train=0.9574765168824575, accuracy_val=0.8960791777693187 
* min_df= 1 , max_df= 0.05, alpha= 0.07, accuracy_train=0.9554032326309554, accuracy_val=0.8956985154168253 
* min_df= 1 , max_df= 0.05, alpha= 0.08, accuracy_train=0.9530337649149531, accuracy_val=0.8945565283593453 
* min_df= 1 , max_df= 0.05, alpha= 0.09, accuracy_train=0.9510874164339511, accuracy_val=0.8945565283593453 
* min_df= 1 , max_df= 0.1, alpha= 0.01, accuracy_train=0.9678006262164678, accuracy_val=0.901027788351732 
* min_df= 1 , max_df= 0.1, alpha= 0.02, accuracy_train=0.9632309384784632, accuracy_val=0.9014084507042254 
* min_df= 1 , max_df= 0.1, alpha= 0.03, accuracy_train=0.9597613607514598, accuracy_val=0.9006471259992387 
* min_df= 1 , max_df= 0.1, alpha= 0.04, accuracy_train=0.956926461876957, accuracy_val=0.8991244765892653 
* min_df= 1 , max_df= 0.1, alpha= 0.05, accuracy_train=0.9543454345434543, accuracy_val=0.898743814236772 
* min_df= 1 , max_df= 0.1, alpha= 0.06, accuracy_train=0.9511720402809511, accuracy_val=0.8979824895317853 
* min_df= 1 , max_df= 0.1, alpha= 0.07, accuracy_train=0.948929508335449, accuracy_val=0.8964598401218119 
* min_df= 1 , max_df= 0.1, alpha= 0.08, accuracy_train=0.9468985360074469, accuracy_val=0.8968405024743052 
* min_df= 1 , max_df= 0.1, alpha= 0.09, accuracy_train=0.9451637471439451, accuracy_val=0.8960791777693187 
* min_df= 1 , max_df= 0.15000000000000002, alpha= 0.01, accuracy_train=0.9666582042819667, accuracy_val=0.9006471259992387 
* min_df= 1 , max_df= 0.15000000000000002, alpha= 0.02, accuracy_train=0.9616653973089616, accuracy_val=0.9052150742291587 
* min_df= 1 , max_df= 0.15000000000000002, alpha= 0.03, accuracy_train=0.9577303884234577, accuracy_val=0.9052150742291587 
* min_df= 1 , max_df= 0.15000000000000002, alpha= 0.04, accuracy_train=0.9551070491664551, accuracy_val=0.9025504377617054 
* min_df= 1 , max_df= 0.15000000000000002, alpha= 0.05, accuracy_train=0.9518490310569518, accuracy_val=0.9014084507042254 
* min_df= 1 , max_df= 0.15000000000000002, alpha= 0.06, accuracy_train=0.9493526275704494, accuracy_val=0.8995051389417587 
* min_df= 1 , max_df= 0.15000000000000002, alpha= 0.07, accuracy_train=0.946983159854447, accuracy_val=0.8983631518842786 
* min_df= 1 , max_df= 0.15000000000000002, alpha= 0.08, accuracy_train=0.9446560040619446, accuracy_val=0.8968405024743052 
* min_df= 1 , max_df= 0.15000000000000002, alpha= 0.09, accuracy_train=0.942963527121943, accuracy_val=0.8956985154168253 
* min_df= 1 , max_df= 0.2, alpha= 0.01, accuracy_train=0.9656427181179656, accuracy_val=0.9002664636467453 
* min_df= 1 , max_df= 0.2, alpha= 0.02, accuracy_train=0.9606499111449607, accuracy_val=0.9029311001141987 
* min_df= 1 , max_df= 0.2, alpha= 0.03, accuracy_train=0.9566725903359566, accuracy_val=0.904453749524172 
* min_df= 1 , max_df= 0.2, alpha= 0.04, accuracy_train=0.9535838199204536, accuracy_val=0.9025504377617054 
* min_df= 1 , max_df= 0.2, alpha= 0.05, accuracy_train=0.9511297283574511, accuracy_val=0.9006471259992387 
* min_df= 1 , max_df= 0.2, alpha= 0.06, accuracy_train=0.9484217652534485, accuracy_val=0.8995051389417587 
* min_df= 1 , max_df= 0.2, alpha= 0.07, accuracy_train=0.9462215452314462, accuracy_val=0.8991244765892653 
* min_df= 1 , max_df= 0.2, alpha= 0.08, accuracy_train=0.9433443344334433, accuracy_val=0.8976018271792919 
* min_df= 1 , max_df= 0.2, alpha= 0.09, accuracy_train=0.9416941694169417, accuracy_val=0.8960791777693187 
* min_df= 1 , max_df= 0.25, alpha= 0.01, accuracy_train=0.9650926631124651, accuracy_val=0.9017891130567187 
* min_df= 1 , max_df= 0.25, alpha= 0.02, accuracy_train=0.9598882965219598, accuracy_val=0.9017891130567187 
* min_df= 1 , max_df= 0.25, alpha= 0.03, accuracy_train=0.9559955995599559, accuracy_val=0.9040730871716787 
* min_df= 1 , max_df= 0.25, alpha= 0.04, accuracy_train=0.9533299483794533, accuracy_val=0.9036924248191854 
* min_df= 1 , max_df= 0.25, alpha= 0.05, accuracy_train=0.9505796733519506, accuracy_val=0.9017891130567187 
* min_df= 1 , max_df= 0.25, alpha= 0.06, accuracy_train=0.9474062790894474, accuracy_val=0.8991244765892653 
* min_df= 1 , max_df= 0.25, alpha= 0.07, accuracy_train=0.9451637471439451, accuracy_val=0.8979824895317853 
