* min_df= 1 , max_df= 0.05, alpha= 0.01, accuracy_train=0.9692815435389693, accuracy_val=0.8976018271792919 
* min_df= 1 , max_df= 0.05, alpha= 0.02, accuracy_train=0.9647964796479648, accuracy_val=0.8964598401218119 
* min_df= 1 , max_df= 0.05, alpha= 0.03, accuracy_train=0.9605652872979605, accuracy_val=0.8949371907118386 
* min_df= 1 , max_df= 0.05, alpha= 0.04, accuracy_train=0.9579419480409579, accuracy_val=0.8945565283593453 
* min_df= 1 , max_df= 0.05, alpha= 0.05, accuracy_train=0.9557840399424558, accuracy_val=0.8960791777693187 
* min_df= 1 , max_df= 0.05, alpha= 0.06, accuracy_train=0.9542608106964543, accuracy_val=0.8956985154168253 
* min_df= 1 , max_df= 0.05, alpha= 0.07, accuracy_train=0.9525683337564526, accuracy_val=0.8960791777693187 
* min_df= 1 , max_df= 0.05, alpha= 0.08, accuracy_train=0.9508335448929508, accuracy_val=0.894175866006852 
* min_df= 1 , max_df= 0.05, alpha= 0.09, accuracy_train=0.9496064991114496, accuracy_val=0.894175866006852 
* min_df= 1 , max_df= 0.1, alpha= 0.01, accuracy_train=0.9653888465769654, accuracy_val=0.8995051389417587 
* min_df= 1 , max_df= 0.1, alpha= 0.02, accuracy_train=0.9605229753744605, accuracy_val=0.8991244765892653 
* min_df= 1 , max_df= 0.1, alpha= 0.03, accuracy_train=0.956968773800457, accuracy_val=0.8991244765892653 
* min_df= 1 , max_df= 0.1, alpha= 0.04, accuracy_train=0.9536261318439536, accuracy_val=0.8972211648267986 
* min_df= 1 , max_df= 0.1, alpha= 0.05, accuracy_train=0.9515105356689515, accuracy_val=0.8972211648267986 
* min_df= 1 , max_df= 0.1, alpha= 0.06, accuracy_train=0.9495641871879495, accuracy_val=0.8956985154168253 
* min_df= 1 , max_df= 0.1, alpha= 0.07, accuracy_train=0.9477024625539477, accuracy_val=0.8945565283593453 
* min_df= 1 , max_df= 0.1, alpha= 0.08, accuracy_train=0.9462638571549462, accuracy_val=0.8934145413018653 
* min_df= 1 , max_df= 0.1, alpha= 0.09, accuracy_train=0.9449521875264449, accuracy_val=0.8926532165968786 
* min_df= 1 , max_df= 0.15000000000000002, alpha= 0.01, accuracy_train=0.963992553101464, accuracy_val=0.9002664636467453 
